ADSK;ATVI;PYPL;AMD;INTC;QCOM;NFLX;TXN;ADBE;TMUS;CSCO;AVGO;META;NVDA;TSLA;AMZN;GOOGL;GOOG;MSFT;APPL
202;79;105;98;47;141;350;175;432;135;52;593;215;222;341;156;130;130;288;170
197;79;102;93;46;137;341;174;420;133;51;574;210;213;328;152;127;127;280;165
197;79;101;94;47;139;338;177;425;131;51;587;211;218;335;153;128;128;281;165
204;79;104;97;48;141;349;179;436;133;52;598;217;222;343;158;130;131;285;167
202;79;95;94;48;140;226;179;428;133;53;598;200;215;326;154;128;128;286;167
195;79;89;90;48;136;218;177;417;132;53;593;188;202;336;148;125;125;281;166
187;79;86;88;47;133;216;173;409;129;51;587;184;195;335;144;120;120;274;162
191;78;88;91;47;137;210;174;414;129;52;588;187;199;333;146;123;123;281;163
186;77;84;85;46;134;198;168;399;125;51;560;181;188;292;139;119;120;270;157
180;76;83;85;45;135;189;169;398;130;49;560;175;184;294;138;114;115;283;157
196;77;92;90;47;148;200;176;411;132;51;579;206;198;293;145;119;119;290;164
189;76;88;86;44;140;190;170;396;123;49;554;200;185;290;124;114;115;278;158
193;78;92;90;45;145;199;174;407;126;50;576;211;195;301;125;117;117;284;158
193;79;91;91;45;144;200;173;408;126;50;581;212;196;303;124;117;118;282;159
204;79;93;99;47;149;204;176;423;132;52;604;223;203;318;126;122;123;290;166
198;79;85;94;45;142;188;170;401;130;50;580;208;188;291;116;117;117;277;157
194;78;82;95;44;141;181;167;391;127;49;580;204;187;289;115;116;116;275;157
186;77;80;86;43;135;173;165;377;122;49;563;196;170;262;109;113;113;265;152
186;77;79;89;44;137;178;168;393;123;50;581;198;176;267;109;114;115;270;155
181;77;75;88;43;132;166;165;379;123;49;567;189;166;245;105;114;114;261;147
185;77;74;87;43;132;174;166;388;124;48;572;191;162;243;107;113;113;255;143
197;78;79;95;44;135;188;170;405;126;50;588;199;177;257;113;116;117;261;147
193;78;78;94;43;134;187;169;403;127;49;583;200;173;241;111;114;115;262;146
196;79;80;102;44;140;191;175;410;129;51;608;203;182;254;115;116;117;267;149
188;78;77;96;42;130;177;170;398;125;48;571;192;169;237;107;112;112;254;141
194;78;81;97;42;131;183;168;394;126;42;546;191;171;236;107;110;111;253;137
191;77;81;94;42;132;186;170;399;126;43;543;194;167;221;108;109;109;253;138
184;77;81;95;42;132;187;170;407;130;43;526;196;169;225;108;111;112;261;143
180;77;79;91;42;129;180;168;398;129;44;524;181;162;209;104;106;106;260;140
187;78;80;93;42;131;188;170;403;131;44;532;184;170;220;107;106;106;263;141
192;78;80;99;43;135;191;174;409;133;45;551;192;179;236;111;108;108;266;144
211;78;85;102;45;140;195;178;428;134;46;583;195;188;253;115;112;113;273;150
208;78;85;102;44;143;197;177;416;133;45;580;194;187;253;120;114;114;272;149
207;77;82;101;44;140;193;174;418;135;45;574;189;183;247;122;114;114;272;149
214;78;88;109;45;146;205;177;441;136;46;577;199;196;258;126;118;118;275;151
208;78;87;106;43;141;199;172;430;137;45;563;191;187;235;122;115;115;270;145
209;78;87;106;43;140;197;168;429;137;45;561;194;188;238;125;117;117;269;146
207;78;89;105;44;142;199;170;433;139;46;573;196;189;239;123;117;117;273;149
204;78;88;102;41;139;203;165;429;135;45;565;197;186;242;121;117;117;270;148
195;77;84;99;40;137;193;162;426;133;44;556;184;180;240;116;115;115;265;143
187;76;79;95;39;133;183;158;394;131;43;541;176;170;232;110;111;111;253;137
173;75;74;87;38;129;170;154;372;125;43;518;164;156;216;104;106;107;242;132
172;75;72;87;38;130;168;154;371;125;43;520;164;158;221;102;107;107;244;133
177;75;76;89;39;131;180;156;377;127;44;527;169;165;233;108;110;110;252;135
164;74;71;82;37;121;173;151;365;124;43;497;161;156;213;104;106;107;245;130
168;75;73;82;37;121;176;150;361;128;43;499;164;159;217;106;107;108;248;132
167;76;72;84;38;124;171;153;363;132;44;504;157;166;237;109;112;112;254;136
169;76;73;84;37;122;179;153;365;133;44;496;156;164;236;109;111;112;253;135
183;76;74;82;37;120;182;151;377;136;43;497;159;162;235;112;112;113;259;138
192;78;78;87;39;125;191;156;388;137;44;509;170;171;246;116;118;119;268;142
186;78;76;86;39;127;189;156;381;137;44;506;169;169;245;113;116;117;265;142
177;77;72;81;38;132;180;154;366;133;43;498;161;160;233;107;112;113;256;137
177;78;71;78;37;130;178;153;369;134;43;490;164;155;228;109;112;112;260;139
172;78;70;76;37;128;175;154;366;135;43;486;161;152;224;106;109;109;257;137
174;79;71;74;36;124;180;149;368;137;43;478;160;145;227;110;109;109;260;139
177;79;74;75;37;126;186;149;376;138;42;476;168;150;233;114;113;114;263;142
177;78;73;75;37;127;184;151;383;137;43;483;170;151;232;114;115;115;266;143
182;79;75;79;38;134;189;155;391;136;43;499;172;159;245;116;119;119;268;146
180;78;73;79;38;136;187;156;389;136;43;499;171;158;251;116;119;120;268;147
177;78;70;77;37;132;177;154;384;135;43;483;163;152;234;112;116;117;265;145
172;77;71;76;37;133;174;154;376;134;43;481;163;151;233;109;114;115;254;146
171;76;71;78;37;136;177;154;372;135;43;482;163;152;237;110;111;112;253;145
171;76;70;79;38;142;175;158;373;136;42;485;158;154;238;111;110;111;254;148
176;77;74;81;39;144;189;161;380;137;43;494;165;158;240;114;112;113;257;150
177;77;74;81;39;142;191;160;375;134;43;491;167;161;241;114;109;110;254;147
185;79;78;86;40;147;202;165;388;138;44;509;176;170;246;118;114;115;260;151
196;79;80;89;41;152;216;165;401;137;44;512;183;178;248;123;114;115;262;153
199;79;83;91;41;156;224;167;409;133;45;518;183;181;272;125;114;115;265;155
196;79;81;88;39;154;220;164;402;132;44;513;169;173;272;122;108;108;260;154
196;80;82;88;39;153;219;163;392;135;44;513;167;170;268;121;108;108;259;153
193;79;77;85;39;150;214;161;379;134;44;511;159;165;259;115;105;105;252;152
203;80;86;90;40;153;227;172;393;141;45;528;170;178;275;121;113;114;269;157
212;80;86;92;40;146;226;176;404;142;46;534;161;180;281;122;114;115;276;157
216;80;87;94;36;145;225;179;410;143;45;535;159;182;297;135;116;117;281;163
218;80;89;97;37;147;226;179;411;144;45;536;160;184;297;135;115;115;278;162
216;79;90;99;36;147;221;177;410;142;45;531;160;185;301;134;115;116;275;160
218;81;98;98;37;149;227;183;425;144;46;547;169;189;307;140;118;119;282;166
222;81;97;104;36;151;230;185;431;144;45;553;171;192;309;143;118;119;284;166
222;80;95;102;35;150;227;184;433;145;45;551;167;190;288;141;117;118;283;165
221;81;96;100;35;148;233;183;434;145;45;546;170;178;290;139;117;118;280;165
218;81;94;96;35;143;230;178;427;146;45;533;169;171;283;138;117;118;282;165
226;81;99;99;35;147;244;183;438;145;46;550;178;181;294;143;120;121;289;169
227;81;99;98;36;148;243;182;435;144;46;545;177;179;287;141;119;120;287;168
233;81;101;101;36;151;249;185;446;146;47;558;181;187;300;144;122;123;292;172
234;81;102;101;36;152;249;185;451;147;47;559;181;190;309;143;122;123;293;173
234;81;102;100;36;150;246;183;448;147;47;552;179;189;307;145;122;123;293;173
228;81;99;98;36;149;241;177;438;146;47;539;175;183;304;142;120;120;291;175
229;80;100;100;36;151;245;178;439;147;49;558;175;188;303;142;120;121;290;174
223;80;97;96;35;148;241;176;425;146;49;548;168;178;297;138;117;118;286;172
216;80;94;93;34;142;227;171;411;145;48;529;163;170;290;133;114;115;278;168
214;79;93;92;34;141;225;173;410;144;47;530;161;172;296;134;114;115;276;167
214;79;94;93;34;141;230;172;406;145;47;531;163;172;297;134;114;115;276;168
220;79;97;97;35;146;234;177;404;147;47;550;169;179;296;137;117;118;279;170
208;79;93;91;33;138;223;169;381;143;46;521;162;163;288;131;110;111;268;164
206;79;93;88;33;137;225;168;375;145;46;514;159;158;285;130;109;110;265;161
203;79;92;87;32;134;221;167;375;146;45;506;157;155;278;129;109;110;263;159
202;78;93;85;32;132;224;165;373;144;45;499;163;151;276;127;108;109;261;157
202;79;93;82;32;130;230;166;371;144;45;492;165;139;277;128;110;111;260;158
199;78;91;80;31;128;226;163;368;142;45;500;160;136;270;128;108;109;256;156
198;77;92;79;30;127;218;163;368;142;44;498;159;135;274;126;107;107;253;155
206;78;95;80;31;129;229;166;380;146;45;505;160;137;284;129;109;110;258;156
210;77;96;83;31;129;227;168;384;145;45;512;162;140;289;130;108;109;259;154
212;79;96;85;31;132;234;171;395;146;46;522;169;144;300;133;111;112;264;157
215;78;98;85;32;133;237;171;396;145;46;529;169;145;304;136;111;112;267;163
208;77;95;77;29;125;218;163;368;138;44;504;153;131;292;127;104;105;252;154
209;77;98;77;29;128;224;165;372;142;44;511;151;131;303;129;105;106;252;155
201;77;96;77;29;125;235;163;309;141;43;500;150;129;304;126;103;104;245;152
195;76;94;77;29;125;240;165;300;140;43;503;146;132;303;124;103;104;245;151
197;76;95;77;29;127;244;166;296;141;43;502;148;134;309;125;103;104;245;154
195;75;92;75;29;125;243;166;291;140;43;493;146;132;309;122;101;102;242;157
192;75;91;74;28;125;237;163;286;137;42;482;142;133;301;119;99;100;239;154
187;77;88;70;28;124;237;163;287;135;41;478;143;126;289;117;100;101;241;153
185;75;87;68;28;121;226;161;285;132;41;469;140;125;275;114;99;99;238;150
184;74;84;66;27;120;224;160;277;132;41;462;136;122;276;115;98;99;237;151
188;75;86;67;27;120;224;161;278;133;41;465;134;124;283;114;98;98;236;152
