binance-usd;bitcoin;cardano;cdai;ethereum;heco-peg-xrp;matic-network;metabusdcoin;oec-binance-coin;polkadot;solana;tether
1.002773;20690.382680;0.445294;0.022088;1560.476091;0.337496;0.781511;3.185770;289.775873;7.104873;32.997798;1.001588
1.000631;20714.585890;0.444071;0.022074;1561.595881;0.339575;0.788015;3.184280;291.495096;7.106099;33.013400;0.999876
1.001759;20664.237940;0.446319;0.022064;1558.771426;0.340917;0.791182;3.187740;291.158656;7.114130;33.017276;1.000737
1.001788;20678.319290;0.445522;0.022070;1557.333366;0.340280;0.788121;3.173200;294.044493;7.114021;32.849432;1.001403
1.001383;20657.160620;0.441278;0.022100;1553.609849;0.340101;0.785223;3.163450;291.816333;7.047102;32.392542;1.001450
1.000839;20662.200390;0.432668;0.022134;1510.189111;0.337633;0.765003;3.077430;289.634438;6.935315;31.794406;1.001273
1.001270;20267.186420;0.432212;0.022134;1518.274260;0.339325;0.773825;3.087650;286.746212;6.961515;31.941297;1.000462
1.001901;20327.586600;0.434514;0.022051;1514.958091;0.338067;0.776205;3.100070;288.112867;6.974173;31.998416;1.000321
1.003825;20322.852150;0.435165;0.022056;1505.085421;0.341377;0.776324;3.060380;290.306507;6.967361;31.921967;1.001282
1.002026;20266.103870;0.436881;0.022048;1503.212478;0.337936;0.776267;3.050030;290.002386;6.955852;31.949748;1.000944
0.999458;20253.721510;0.434351;0.022066;1496.012361;0.337353;0.770922;3.043420;289.157547;6.931253;31.825586;1.001297
1.005641;20181.081260;0.432989;0.022116;1491.066845;0.330591;0.767155;3.029030;286.960205;6.916241;31.636198;0.999238
0.999207;20169.693490;0.436610;0.022094;1499.252097;0.333414;0.771133;3.048810;285.645333;6.971431;31.823832;1.001496
1.001569;20177.839260;0.440610;0.022089;1505.365413;0.335245;0.779661;3.054240;289.291471;7.021492;32.131595;1.000787
1.001069;20243.836280;0.442081;0.022089;1506.883333;0.334857;0.782574;3.054500;279.823465;7.029466;32.086001;1.001513
1.000824;20259.750430;0.440907;0.022053;1501.931577;0.334368;0.786575;3.050610;278.169433;7.015736;31.940114;1.001065
1.001770;20188.278130;0.443745;0.022079;1508.056446;0.336758;0.789824;3.076370;279.679898;7.049819;32.045140;1.002623
1.000800;20245.779170;0.448245;0.022065;1507.200063;0.337188;0.796556;3.083600;280.680601;7.038483;32.054557;1.000260
1.000132;20243.778990;0.446236;0.022069;1504.750274;0.334885;0.801403;3.078620;280.527334;7.022139;31.967835;1.000629
1.002660;20207.461890;0.449991;0.022055;1503.863905;0.335448;0.809602;3.024340;280.378309;7.028576;31.920451;0.999685
0.999075;20210.174330;0.446649;0.022065;1494.448839;0.335159;0.800344;3.017280;279.700211;7.006717;31.724792;1.002022
1.002374;20119.973590;0.445578;0.022124;1472.291894;0.334305;0.801141;3.004140;279.548313;6.999871;31.463087;1.000908
1.002872;20050.333520;0.443829;0.022105;1469.435323;0.335870;0.795696;2.954880;279.237586;7.011941;31.213333;1.001546
0.998978;19989.917100;0.444644;0.022043;1475.852168;0.334186;0.797155;2.942730;280.648819;7.024332;31.242927;1.000178
0.999854;20016.051570;0.443143;0.022051;1469.012603;0.332074;0.793880;2.942200;278.637271;6.987193;31.083637;0.999888
1.000480;19962.011630;0.445955;0.022091;1477.302517;0.334227;0.800034;2.947280;279.154192;7.035139;31.370273;0.999652
1.000884;20031.028660;0.446077;0.022063;1478.620622;0.333122;0.803204;2.940680;279.062090;7.033820;31.361062;1.000964
0.998190;20006.281500;0.445120;0.022040;1466.991003;0.334587;0.797874;2.930950;282.766917;7.006972;31.237461;1.000084
1.004015;19920.602660;0.449848;0.022067;1486.101371;0.334149;0.804108;2.942390;281.762378;7.074333;31.482859;1.001654
1.000460;20063.304190;0.451323;0.022078;1493.470203;0.334319;0.807616;2.953130;280.137889;7.053459;31.574625;1.000619
1.001205;20053.734300;0.451419;0.022068;1486.269980;0.332901;0.815021;2.922520;281.860625;7.044276;31.386284;1.001276
1.000491;20000.244930;0.452769;0.022066;1495.745718;0.330226;0.812873;3.012320;280.707213;7.079881;31.591052;1.001198
0.999935;20054.559210;0.452104;0.022035;1498.361729;0.334287;0.814743;3.041600;277.966138;7.074775;31.607882;1.000981
